,id,id_str,full_text,source,source_url,retweet_count,favorite_count,lang,full_text_lemmatiz,sentiment,polarity,sentiment_analysis
0,1465948889761173507,1465948889761173507,explosive—we learn trump tested positive covid days first debate joe biden says former chief staff mark meadows—positive test sept th day wh’s infamous superspreading scotus nominating event,Twitter for iPhone,http://twitter.com/download/iphone,5273,11800,en,"['explosive—we', 'learn', 'trump', 'tested', 'positive', 'covid', 'day', 'first', 'debate', 'joe', 'biden', 'say', 'former', 'chief', 'staff', 'mark', 'meadows—positive', 'test', 'sept', 'th', 'day', 'wh’s', 'infamous', 'superspreading', 'scotus', 'nominating', 'event']",0.46969696969696967,-0.005681818181818177,NEGATIVE
1,1466046988500230146,1466046988500230146,learn wise guy mocked joe biden presidential debate wearing mask… first tested positive covid days debate can’t make,Twitter for iPhone,http://twitter.com/download/iphone,1964,6256,en,"['learn', 'wise', 'guy', 'mocked', 'joe', 'biden', 'presidential', 'debate', 'wearing', 'mask…', 'first', 'tested', 'positive', 'covid', 'day', 'debate', 'can’t', 'make']",0.592929292929293,0.3924242424242424,POSITIVE
2,1466089777938280452,1466089777938280452,covid update total tests conducted last hrs new cases represents positivity rate covid related deaths reported bringing total fatalities date see,Hootsuite Inc.,https://www.hootsuite.com,593,624,en,"['covid', 'update', 'total', 'test', 'conducted', 'last', 'hr', 'new', 'case', 'represents', 'positivity', 'rate', 'covid', 'related', 'death', 'reported', 'bringing', 'total', 'fatality', 'date', 'see']",0.48424242424242425,0.02727272727272727,POSITIVE
3,1466385507298983942,1466385507298983942,early south african data say omicron amp reinfection seeing increase reinfection or…,Twitter Web App,https://mobile.twitter.com,44,0,en,"['early', 'south', 'african', 'data', 'say', 'omicron', 'amp', 'reinfection', 'seeing', 'increase', 'reinfection', 'or…']",0.15,0.05,POSITIVE
4,1466385504690008070,1466385504690008070,largestvaccinedrive achieves another milestone crore covid vaccine administered far amp counting modihaitomu…,Twitter for Android,http://twitter.com/download/android,41,0,en,"['largestvaccinedrive', 'achieves', 'another', 'milestone', 'crore', 'covid', 'vaccine', 'administered', 'far', 'amp', 'counting', 'modihaitomu…']",1.0,0.1,POSITIVE
5,1466385500118425614,1466385500118425614,join great team experts today pm talk omicron covid variant need know abo…,Twitter for iPhone,http://twitter.com/download/iphone,5,0,en,"['join', 'great', 'team', 'expert', 'today', 'pm', 'talk', 'omicron', 'covid', 'variant', 'need', 'know', 'abo…']",0.75,0.8,POSITIVE
6,1466385480073682956,1466385480073682956,thread handling international arrivals even covid time well organised passengers…,Twitter Web App,https://mobile.twitter.com,5,0,en,"['thread', 'handling', 'international', 'arrival', 'even', 'covid', 'time', 'well', 'organised', 'passengers…']",0.0,0.0,ZERO
7,1466385476680654852,1466385476680654852,covid ‘good news’ emerges latest omicron data regarding severity illness antibodies,Twitter for iPhone,http://twitter.com/download/iphone,8,0,en,"['covid', '‘good', 'news’', 'emerges', 'latest', 'omicron', 'data', 'regarding', 'severity', 'illness', 'antibody']",0.75,0.6,POSITIVE
8,1466385475950694402,1466385475950694402,सबका साथ सबका प्रयास yet another proud moment every indian nation hits crore vaccination mark as…,Twitter for Android,http://twitter.com/download/android,42,0,en,"['सबका', 'साथ', 'सबका', 'प्रयास', 'yet', 'another', 'proud', 'moment', 'every', 'indian', 'nation', 'hit', 'crore', 'vaccination', 'mark', 'as…']",1.0,0.8,POSITIVE
9,1466385475094990857,1466385475094990857,imbert big data help fight covid trinidad tobago newsday finance minister colm imbemade comments spoke second day virtual untt big data forum wednesday big data bigdata cdo cto,dlvr.it,https://dlvrit.com/,0,0,en,"['imbert', 'big', 'data', 'help', 'fight', 'covid', 'trinidad', 'tobago', 'newsday', 'finance', 'minister', 'colm', 'imbemade', 'comment', 'spoke', 'second', 'day', 'virtual', 'untt', 'big', 'data', 'forum', 'wednesday', 'big', 'data', 'bigdata', 'cdo', 'cto']",0.07500000000000001,0.0,ZERO
10,1466385472712679430,1466385472712679430,kerala number new covid cases today tpr,Twitter for iPhone,http://twitter.com/download/iphone,0,0,en,"['kerala', 'number', 'new', 'covid', 'case', 'today', 'tpr']",0.45454545454545453,0.13636363636363635,POSITIVE
11,1466385472263917569,1466385472263917569,lokeshsharma rajasthan coronaupdate covid cases reported jaipur todays recovered cases dist…,Twitter for Android,http://twitter.com/download/android,109,0,en,"['lokeshsharma', 'rajasthan', 'coronaupdate', 'covid', 'case', 'reported', 'jaipur', 'today', 'recovered', 'case', 'dist…']",0.0,0.0,ZERO
12,1466385469457907712,1466385469457907712,covid highlighted vulnerability communities especially already affected humanitarian crises to…,Twitter Web App,https://mobile.twitter.com,35,0,en,"['covid', 'highlighted', 'vulnerability', 'community', 'especially', 'already', 'affected', 'humanitarian', 'crisis', 'to…']",1.0,0.0,ZERO
13,1466385468971532295,1466385468971532295,confused youll qualify booster jab dont worry govt seems science minister …,Twitter for iPhone,http://twitter.com/download/iphone,89,0,en,"['confused', 'youll', 'qualify', 'booster', 'jab', 'dont', 'worry', 'govt', 'seems', 'science', 'minister', '…']",0.7,-0.4,NEGATIVE
14,1466385464378773505,1466385464378773505,things plebs like us denied greater good things never replicated births deat…,Twitter for Android,http://twitter.com/download/android,84,0,en,"['thing', 'pleb', 'like', 'u', 'denied', 'greater', 'good', 'thing', 'never', 'replicated', 'birth', 'deat…']",0.55,0.6,POSITIVE
15,1466385458951331846,1466385458951331846,south korea one vaccinated countries world reports new covid cases highest …,Twitter for Android,http://twitter.com/download/android,3540,0,en,"['south', 'korea', 'one', 'vaccinated', 'country', 'world', 'report', 'new', 'covid', 'case', 'highest', '…']",0.45454545454545453,0.13636363636363635,POSITIVE
16,1466385454832488448,1466385454832488448,learn wise guy mocked joe biden presidential debate wearing mask… first tested po…,Twitter Web App,https://mobile.twitter.com,1964,0,en,"['learn', 'wise', 'guy', 'mocked', 'joe', 'biden', 'presidential', 'debate', 'wearing', 'mask…', 'first', 'tested', 'po…']",0.6166666666666667,0.475,POSITIVE
17,1466385453234495493,1466385453234495493,twitter man apparently unvaxxed immune omicron ignoring fact seems originated region low vax rates critical thinking dead good news early findings seem indicate mild infectious covid,Twitter for Android,http://twitter.com/download/android,0,0,en,"['twitter', 'man', 'apparently', 'unvaxxed', 'immune', 'omicron', 'ignoring', 'fact', 'seems', 'originated', 'region', 'low', 'vax', 'rate', 'critical', 'thinking', 'dead', 'good', 'news', 'early', 'finding', 'seem', 'indicate', 'mild', 'infectious', 'covid']",0.4642857142857143,0.14047619047619045,POSITIVE
18,1466385453192523777,1466385453192523777,covid policies debarring children vaccination backfire us need think sending them…,Twitter for Android,http://twitter.com/download/android,2,0,en,"['covid', 'policy', 'debarring', 'child', 'vaccination', 'backfire', 'u', 'need', 'think', 'sending', 'them…']",0.0,0.0,ZERO
19,1466385453054111744,1466385453054111744,covid ‘good news’ emerges latest omicron data regarding severity illness antibodies,Twitter for iPhone,http://twitter.com/download/iphone,8,0,en,"['covid', '‘good', 'news’', 'emerges', 'latest', 'omicron', 'data', 'regarding', 'severity', 'illness', 'antibody']",0.75,0.6,POSITIVE
20,1466385452743770115,1466385452743770115,covid omicron variant netherlands earlier thought mmm judging discrimination wrought south…,Twitter for Android,http://twitter.com/download/android,40,0,en,"['covid', 'omicron', 'variant', 'netherlands', 'earlier', 'thought', 'mmm', 'judging', 'discrimination', 'wrought', 'south…']",0.5,0.0,ZERO
21,1466385443285397507,1466385443285397507,two cases omicronvarient reported country far cases karnataka lav agarwal joint secretary…,Twitter for Android,http://twitter.com/download/android,50,0,en,"['two', 'case', 'omicronvarient', 'reported', 'country', 'far', 'case', 'karnataka', 'lav', 'agarwal', 'joint', 'secretary…']",1.0,0.1,POSITIVE
22,1466385439997235206,1466385439997235206,terrifying deadly politicians would absolutely locked houses permanentl…,Twitter for iPhone,http://twitter.com/download/iphone,739,0,en,"['terrifying', 'deadly', 'politician', 'would', 'absolutely', 'locked', 'house', 'permanentl…']",0.7666666666666666,-0.3333333333333333,NEGATIVE
23,1466385438558543873,1466385438558543873,coronavirus keep updated safe kind careful vaccinated covid corona,Twitter Web App,https://mobile.twitter.com,2,0,en,"['coronavirus', 'keep', 'updated', 'safe', 'kind', 'careful', 'vaccinated', 'covid', 'corona']",0.7999999999999999,0.3333333333333333,POSITIVE
24,1466385438113873921,1466385438113873921,news virginia labs screen previous coronavirus positive tests omicron variant wtop news coronavirus covid ncov,dlvr.it,https://dlvrit.com/,0,0,en,"['news', 'virginia', 'lab', 'screen', 'previous', 'coronavirus', 'positive', 'test', 'omicron', 'variant', 'wtop', 'news', 'coronavirus', 'covid', 'ncov']",0.356060606060606,0.030303030303030304,POSITIVE
25,1466385435601485825,1466385435601485825,two passengers arrived singapore south africa sia flight tested “preliminarily positive”…,Twitter for iPhone,http://twitter.com/download/iphone,83,0,en,"['two', 'passenger', 'arrived', 'singapore', 'south', 'africa', 'sia', 'flight', 'tested', '“preliminarily', 'positive”…']",0.5454545454545454,0.22727272727272727,POSITIVE
26,1466385433789673474,1466385433789673474,update newly detected covid cases last hrs bmc area st december till,Twitter for Android,http://twitter.com/download/android,7,0,en,"['update', 'newly', 'detected', 'covid', 'case', 'last', 'hr', 'bmc', 'area', 'st', 'december', 'till']",0.2606060606060606,0.06818181818181818,POSITIVE
27,1466385433336565766,1466385433336565766,सबका साथ सबका प्रयास yet another proud moment every indian nation hits crore vaccination mark as…,Twitter Web App,https://mobile.twitter.com,42,0,en,"['सबका', 'साथ', 'सबका', 'प्रयास', 'yet', 'another', 'proud', 'moment', 'every', 'indian', 'nation', 'hit', 'crore', 'vaccination', 'mark', 'as…']",1.0,0.8,POSITIVE
28,1466385433294606340,1466385433294606340,deodhar another feather hat pm ji india successfully administers crore vaccine doses let us to…,Twitter for Android,http://twitter.com/download/android,21,0,en,"['deodhar', 'another', 'feather', 'hat', 'pm', 'ji', 'india', 'successfully', 'administers', 'crore', 'vaccine', 'dos', 'let', 'u', 'to…']",0.95,0.75,POSITIVE
29,1466385432459956230,1466385432459956230,news covid status update marin county coronavirus information coronavirus covid ncov,dlvr.it,https://dlvrit.com/,0,0,en,"['news', 'covid', 'status', 'update', 'marin', 'county', 'coronavirus', 'information', 'coronavirus', 'covid', 'ncov']",0.0,0.0,ZERO
30,1466385426256515076,1466385426256515076,outbreaks justpublished threat assessment brief implications emergence spread sarscov b vari…,Twitter Web App,https://mobile.twitter.com,7,0,en,"['outbreak', 'justpublished', 'threat', 'assessment', 'brief', 'implication', 'emergence', 'spread', 'sarscov', 'b', 'vari…']",0.3333333333333333,0.0,ZERO
31,1466385424188911624,1466385424188911624,removes jordan namibia list countries travel restrictions lifted co…,Twitter for Android,http://twitter.com/download/android,4,0,en,"['remove', 'jordan', 'namibia', 'list', 'country', 'travel', 'restriction', 'lifted', 'co…']",0.0,0.0,ZERO
32,1466385419189293057,1466385419189293057,findings womencounts new report measuring shadow pandemic violence women covid revealed women feeling less safe home conflict domestic violence increased days,Hootsuite Inc.,https://www.hootsuite.com,0,0,en,"['finding', 'womencounts', 'new', 'report', 'measuring', 'shadow', 'pandemic', 'violence', 'woman', 'covid', 'revealed', 'woman', 'feeling', 'le', 'safe', 'home', 'conflict', 'domestic', 'violence', 'increased', 'day']",0.28030303030303033,0.11742424242424243,POSITIVE
33,1466385418329501703,1466385418329501703,two years covid pandemic new challenges arising easy despair important remember weve achieved progress making around globe community health centres like charteroak continue lead way forward,Twitter Web App,https://mobile.twitter.com,0,0,en,"['two', 'year', 'covid', 'pandemic', 'new', 'challenge', 'arising', 'easy', 'despair', 'important', 'remember', 'weve', 'achieved', 'progress', 'making', 'around', 'globe', 'community', 'health', 'centre', 'like', 'charteroak', 'continue', 'lead', 'way', 'forward']",0.7626262626262627,0.32323232323232326,POSITIVE
34,1466385409278025730,1466385409278025730,day covid deaths per k population county ks covid insights analytics team usafacts datavisualization datascience analytics health data covid publichealth covid omicron globalhealth,smcapplication,http://www.suttersmillcapital.com,0,0,en,"['day', 'covid', 'death', 'per', 'k', 'population', 'county', 'k', 'covid', 'insight', 'analytics', 'team', 'usafacts', 'datavisualization', 'datascience', 'analytics', 'health', 'data', 'covid', 'publichealth', 'covid', 'omicron', 'globalhealth']",0.0,0.0,ZERO
35,1466385407873110020,1466385407873110020,“south africa talks amp gain access covid antiviral pills wants one potentially produce south africa… merck amp pfizer seeking approval fda emergency use pills…” compliance ip,Twitter for iPhone,http://twitter.com/download/iphone,0,0,en,"['“south', 'africa', 'talk', 'amp', 'gain', 'access', 'covid', 'antiviral', 'pill', 'want', 'one', 'potentially', 'produce', 'south', 'africa…', 'merck', 'amp', 'pfizer', 'seeking', 'approval', 'fda', 'emergency', 'use', 'pills…”', 'compliance', 'ip']",0.55,0.1,POSITIVE
36,1466385407411634182,1466385407411634182,truth seekers link thread keeping secrets always cause ask “why” never stop ask…,Twitter for iPhone,http://twitter.com/download/iphone,1,0,en,"['truth', 'seeker', 'link', 'thread', 'keeping', 'secret', 'always', 'cause', 'ask', '“why”', 'never', 'stop', 'ask…']",0.0,0.0,ZERO
37,1466385405117358083,1466385405117358083,rate things going government called covid virus variants definitely heading lockdowns restrictions yall gonna let using fear maneuver delta omicron alpha kappa omega……,Twitter for iPhone,http://twitter.com/download/iphone,0,0,en,"['rate', 'thing', 'going', 'government', 'called', 'covid', 'virus', 'variant', 'definitely', 'heading', 'lockdown', 'restriction', 'yall', 'gonna', 'let', 'using', 'fear', 'maneuver', 'delta', 'omicron', 'alpha', 'kappa', 'omega……']",0.5,0.0,ZERO
38,1466385401698938881,1466385401698938881,politicisation “corruption” suppression science almost bad perversion science purposes spreading misinformation profit covid vaccinessavelives,Twitter Web App,https://mobile.twitter.com,0,0,en,"['politicisation', '“corruption”', 'suppression', 'science', 'almost', 'bad', 'perversion', 'science', 'purpose', 'spreading', 'misinformation', 'profit', 'covid', 'vaccinessavelives']",0.6666666666666666,-0.6999999999999998,NEGATIVE
39,1466385400365207556,1466385400365207556,handeerçel kerembürsın winner successful series sold countries theres series in…,Twitter for iPhone,http://twitter.com/download/iphone,27,0,en,"['handeerçel', 'kerembürsın', 'winner', 'successful', 'series', 'sold', 'country', 'there', 'series', 'in…']",0.95,0.75,POSITIVE
40,1466385398851121168,1466385398851121168,eval stepping response endchildmarriage covid joint repoby eval amp unicef assesses global programme…,Twitter for iPhone,http://twitter.com/download/iphone,2,0,en,"['eval', 'stepping', 'response', 'endchildmarriage', 'covid', 'joint', 'repoby', 'eval', 'amp', 'unicef', 'ass', 'global', 'programme…']",0.0,0.0,ZERO
41,1466385397743853576,1466385397743853576,entebbe international airpohas robotics covid disinfectant sanitation systemultra modern development ⁦⁩…,Twitter for Android,http://twitter.com/download/android,8,0,en,"['entebbe', 'international', 'airpohas', 'robotics', 'covid', 'disinfectant', 'sanitation', 'systemultra', 'modern', 'development', '\u2066\u2069…']",0.15,0.1,POSITIVE
42,1466385393423720456,1466385393423720456,gov newsom family vacation k per night cabo san lucas villa retaining ‘emergency powers’ california c…,Twitter Web App,https://mobile.twitter.com,1,0,en,"['gov', 'newsom', 'family', 'vacation', 'k', 'per', 'night', 'cabo', 'san', 'lucas', 'villa', 'retaining', '‘emergency', 'powers’', 'california', 'c…']",0.0,0.0,ZERO
43,1466385389615300608,1466385389615300608,director kauerauf say great confidence reviewing public health literature amp look…,Twitter for iPhone,http://twitter.com/download/iphone,38,0,en,"['director', 'kauerauf', 'say', 'great', 'confidence', 'reviewing', 'public', 'health', 'literature', 'amp', 'look…']",0.4083333333333333,0.4,POSITIVE
44,1466385389367672832,1466385389367672832,social amp cultural events conferences seminars academic events etc educational institutions may postponed f…,Twitter for Android,http://twitter.com/download/android,51,0,en,"['social', 'amp', 'cultural', 'event', 'conference', 'seminar', 'academic', 'event', 'etc', 'educational', 'institution', 'may', 'postponed', 'f…']",0.10416666666666667,0.09583333333333333,POSITIVE
45,1466385386968690689,1466385386968690689,extraordinary hear dr david spiegelhalter say rtoday governments libertarian approach ie lifting c…,Twitter for iPhone,http://twitter.com/download/iphone,358,0,en,"['extraordinary', 'hear', 'dr', 'david', 'spiegelhalter', 'say', 'rtoday', 'government', 'libertarian', 'approach', 'ie', 'lifting', 'c…']",1.0,0.3333333333333333,POSITIVE
46,1466385383420162053,1466385383420162053,malaysia thu dec covid update live update cases cities amp areas …,Twitter for Android,http://twitter.com/download/android,11,0,en,"['malaysia', 'thu', 'dec', 'covid', 'update', 'live', 'update', 'case', 'city', 'amp', 'area', '…']",0.5,0.13636363636363635,POSITIVE
